season,tim,grup,role,role_asli,pemain,link,negara,catatan
14,Team Liquid ID,Former,Mid,Middle,Ritchi,/mobilelegends/Ritchi,Indonesia,Left
14,Team Liquid ID,Staff,,,SaintDeLucaz,/mobilelegends/SaintDeLucaz,Indonesia,Head Coach
14,Team Liquid ID,Staff,,,Facehugger,/mobilelegends/Facehugger,Indonesia,Analyst
15,Alter Ego,Main,EXP,EXP Lane,Nino,/mobilelegends/Nino,Indonesia,
15,Alter Ego,Main,Jungle,Jungler,Rinee,/mobilelegends/Rinee,Indonesia,
15,Alter Ego,Main,Mid,Middle,Hijumee,/mobilelegends/Hijumee,Indonesia,
15,Alter Ego,Main,Gold,Gold Lane,Arfy,/mobilelegends/Arfy,Indonesia,
15,Alter Ego,Main,Roam,Roamer,Dreams,/mobilelegends/Dreams,Indonesia,
15,Alter Ego,Subs,Jungle,Jungler,Kyzenn,/mobilelegends/index.php?title=Kyzenn&action=edit&redlink=1,Indonesia,DNP
15,Alter Ego,Former,Jungle,Jungler,Gebe,/mobilelegends/Gebe,Indonesia,Left
15,Alter Ego,Former,Gold,Gold Lane,Haiz,/mobilelegends/Haiz,Indonesia,Left
15,Alter Ego,Staff,,,Xepher,/mobilelegends/Xepher,Indonesia,Head Coach
15,Alter Ego,Staff,,,Rekt,/mobilelegends/Rekt,Indonesia,Coach
15,Alter Ego,Staff,,,Nafari,/mobilelegends/Nafari,Indonesia,Analyst
15,Bigetron Esports,Main,EXP,EXP Lane,Luke,/mobilelegends/Luke,Indonesia,
15,Bigetron Esports,Main,Jungle,Jungler,Anavel,/mobilelegends/Anavel,Indonesia,
15,Bigetron Esports,Main,Mid,Middle,Moreno,/mobilelegends/Moreno,Indonesia,
15,Bigetron Esports,Main,Gold,Gold Lane,EMANN,/mobilelegends/EMANN,Philippines,
15,Bigetron Esports,Main,Roam,Roamer,Light,/mobilelegends/Light,Philippines,
15,Bigetron Esports,Subs,Roam,Roamer,Finn,/mobilelegends/Finn,Indonesia,
15,Bigetron Esports,Subs,,,Barbossa,/mobilelegends/Barbossa,Indonesia,DNP
15,Bigetron Esports,Former,Jungle,Jungler,Kenn,/mobilelegends/Super_Kenn,Indonesia,Left
15,Bigetron Esports,Staff,,,E2MAX,/mobilelegends/E2MAX,Philippines,Head Coach
15,Bigetron Esports,Staff,,,Tazy,/mobilelegends/Tazy,Indonesia,Assistant Coach
15,Bigetron Esports,Staff,,,Theonael,/mobilelegends/Theonael,Indonesia,Analyst
15,Bigetron Esports,Staff,,,Barbossa,/mobilelegends/Barbossa,Indonesia,Analyst
15,Dewa United Esports,Main,EXP,EXP Lane,Xorizo,/mobilelegends/Xorizo,Indonesia,
15,Dewa United Esports,Main,Jungle,Jungler,Reyy,/mobilelegends/Reyy,Indonesia,
15,Dewa United Esports,Main,Mid,Middle,Octa,/mobilelegends/Octa,Indonesia,
15,Dewa United Esports,Main,Gold,Gold Lane,Maybe,/mobilelegends/Maybeee,Indonesia,
15,Dewa United Esports,Main,Roam,Roamer,Muezzaa,/mobilelegends/Muezzaa,Indonesia,
15,Dewa United Esports,Subs,EXP,EXP Lane,Rezzz,/mobilelegends/Rezzz,Indonesia,
15,Dewa United Esports,Subs,Jungle,Jungler,Vanz,/mobilelegends/Vanz,Indonesia,
15,Dewa United Esports,Subs,Mid,Middle,Spencer,/mobilelegends/Spencer,Indonesia,
15,Dewa United Esports,Subs,Gold,Gold Lane,Azuraa,/mobilelegends/Azuraa,Indonesia,
15,Dewa United Esports,Subs,Roam,Roamer,KESUUU,/mobilelegends/KESUUU,Indonesia,
15,Dewa United Esports,Staff,,,BomBi,/mobilelegends/index.php?title=BomBi&action=edit&redlink=1,Philippines,Head Coach
15,Dewa United Esports,Staff,,,Watt,/mobilelegends/Watt,Indonesia,Coach
15,Dewa United Esports,Staff,,,Super Kurt,/mobilelegends/Super_Kurt,Philippines,Analyst
15,EVOS,Main,EXP,EXP Lane,Regii,/mobilelegends/Fluffy,Indonesia,
15,EVOS,Main,Jungle,Jungler,Alberttt,/mobilelegends/Alberttt,Indonesia,
15,EVOS,Main,Mid,Middle,SwayLow,/mobilelegends/SwayLow,Indonesia,
15,EVOS,Main,Gold,Gold Lane,Erlan,/mobilelegends/Erlan,Indonesia,
15,EVOS,Main,Roam,Roamer,Kyy,/mobilelegends/Kyy,Indonesia,
15,EVOS,Subs,Gold,Gold Lane,Branz,/mobilelegends/Branz,Indonesia,
15,EVOS,Subs,Flex,Flex,Natco,/mobilelegends/Natco,Indonesia,
15,EVOS,Former,Mid,Middle,Depezett,/mobilelegends/Bondolz,Indonesia,Left
15,EVOS,Staff,,,Aville,/mobilelegends/Aville,Indonesia,Head Coach
15,EVOS,Staff,,,Caleb,/mobilelegends/Caleb,Indonesia,Analyst
15,EVOS,Staff,,,TaxStump,/mobilelegends/TaxStump,Indonesia,Analyst
15,Geek Fam ID,Main,EXP,EXP Lane,Gobs,/mobilelegends/Gobs,Indonesia,
15,Geek Fam ID,Main,Jungle,Jungler,Maykids,/mobilelegends/Maykids,Indonesia,
15,Geek Fam ID,Main,Mid,Middle,Aboy,/mobilelegends/A_B_O_Y,Indonesia,
15,Geek Fam ID,Main,Gold,Gold Lane,KennzyySkie,/mobilelegends/KennzyySkie,Indonesia,
15,Geek Fam ID,Main,Roam,Roamer,Baloyskie,/mobilelegends/Baloyskie,Philippines,
15,Geek Fam ID,Subs,Gold,Gold Lane,Caderaa,/mobilelegends/Caderaa,Indonesia,
15,Geek Fam ID,Staff,,,Bluffzy,/mobilelegends/Bluffzy,Philippines,Head Coach
15,Geek Fam ID,Staff,,,Dora,/mobilelegends/Dora,Indonesia,Coach
15,Natus Vincere,Main,EXP,EXP Lane,bq syaii,/mobilelegends/Bq_syaii,Indonesia,
15,Natus Vincere,Main,Jungle,Jungler,woshipaul,/mobilelegends/Woshipaul,Indonesia,
15,Natus Vincere,Main,Mid,Middle,xMagic,/mobilelegends/XMagic,Indonesia,
15,Natus Vincere,Main,Gold,Gold Lane,Xyve,/mobilelegends/Xyve,Indonesia,
15,Natus Vincere,Main,Roam,Roamer,Karss,/mobilelegends/Karss,Indonesia,
