season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
15,7,2,1746883800,ONIC,ONIC,2,0,NAVI,Natus Vincere,selesai,Sanz,/mobilelegends/S_A_N_Z,ONIC
15,7,3,1746948600,RRQ Hoshi,RRQ,2,1,GEEK,Geek Fam ID,selesai,Idok,/mobilelegends/Idok,RRQ
15,7,3,1746959400,Natus Vincere,NAVI,0,2,BTR,Bigetron by Vitality,selesai,EMANN,/mobilelegends/EMANN,BTR
15,7,3,1746970200,Team Liquid ID,TLID,2,1,EVOS,EVOS,selesai,Widy,/mobilelegends/Widy,TLID
15,8,1,1747383300,Team Liquid ID,TLID,0,2,AE,Alter Ego,selesai,Arfy,/mobilelegends/Arfy,AE
15,8,1,1747394100,Bigetron by Vitality,BTR,2,0,DEWA,Dewa United Esports,selesai,EMANN,/mobilelegends/EMANN,BTR
15,8,2,1747467000,Geek Fam ID,GEEK,2,1,TLID,Team Liquid ID,selesai,Maykids,/mobilelegends/Maykids,GEEK
15,8,2,1747477800,Alter Ego,AE,1,2,RRQ,RRQ Hoshi,selesai,Dyrennn,/mobilelegends/Dyrennn,RRQ
15,8,2,1747488600,Bigetron by Vitality,BTR,2,1,ONIC,ONIC,selesai,EMANN,/mobilelegends/EMANN,BTR
15,8,3,1747553400,RRQ Hoshi,RRQ,0,2,DEWA,Dewa United Esports,selesai,Xorizo,/mobilelegends/Xorizo,DEWA
15,8,3,1747564200,ONIC,ONIC,2,0,EVOS,EVOS,selesai,Kairi,/mobilelegends/Kairi,ONIC
15,8,3,1747575000,Natus Vincere,NAVI,0,2,GEEK,Geek Fam ID,selesai,Maykids,/mobilelegends/Maykids,GEEK
15,9,1,1747988100,Bigetron by Vitality,BTR,1,2,GEEK,Geek Fam ID,selesai,Aboy,/mobilelegends/A_B_O_Y,GEEK
15,9,1,1747998900,Dewa United Esports,DEWA,1,2,ONIC,ONIC,selesai,Sanz,/mobilelegends/S_A_N_Z,ONIC
15,9,2,1748071800,EVOS,EVOS,2,1,NAVI,Natus Vincere,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
15,9,2,1748082600,Team Liquid ID,TLID,2,0,RRQ,RRQ Hoshi,selesai,Widy,/mobilelegends/Widy,TLID
15,9,2,1748093400,ONIC,ONIC,2,0,AE,Alter Ego,selesai,Sanz,/mobilelegends/S_A_N_Z,ONIC
15,9,3,1748158200,Dewa United Esports,DEWA,0,2,EVOS,EVOS,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
15,9,3,1748169000,Alter Ego,AE,2,0,BTR,Bigetron by Vitality,selesai,Nino,/mobilelegends/Nino,AE
15,9,3,1748179800,RRQ Hoshi,RRQ,2,0,NAVI,Natus Vincere,selesai,Dyrennn,/mobilelegends/Dyrennn,RRQ
16,1,1,1755850500,ONIC,ONIC,2,0,DEWA,Dewa United Esports,selesai,S A N Z,/mobilelegends/S_A_N_Z,ONIC
