laga_id,game,kode,jenis,urutan,hero
S10R012,2,ONIC,pick,3,Natan
S10R012,2,ONIC,pick,4,Popol and Kupa
S10R012,2,ONIC,pick,5,Rafaela
S10R012,2,ONIC,ban,1,Franco
S10R012,2,ONIC,ban,2,Beatrix
S10R012,2,ONIC,ban,3,Esmeralda
S10R012,2,ONIC,ban,4,Balmond
S10R012,2,ONIC,ban,5,Karina
S10R012,2,RRQ,pick,1,Phoveus
S10R012,2,RRQ,pick,2,Benedetta
S10R012,2,RRQ,pick,3,Valentina
S10R012,2,RRQ,pick,4,Wanwan
S10R012,2,RRQ,pick,5,Mathilda
S10R012,2,RRQ,ban,1,Natalia
S10R012,2,RRQ,ban,2,Fanny
S10R012,2,RRQ,ban,3,Faramis
S10R012,2,RRQ,ban,4,Diggie
S10R012,2,RRQ,ban,5,Ling
S10R012,3,ONIC,pick,1,Esmeralda
S10R012,3,ONIC,pick,2,Julian
S10R012,3,ONIC,pick,3,Faramis
S10R012,3,ONIC,pick,4,Irithel
S10R012,3,ONIC,pick,5,Rafaela
S10R012,3,ONIC,ban,1,Beatrix
S10R012,3,ONIC,ban,2,Franco
S10R012,3,ONIC,ban,3,Claude
S10R012,3,ONIC,ban,4,Uranus
S10R012,3,ONIC,ban,5,Masha
S10R012,3,RRQ,pick,1,Dyrroth
S10R012,3,RRQ,pick,2,Balmond
S10R012,3,RRQ,pick,3,Yve
S10R012,3,RRQ,pick,4,Wanwan
S10R012,3,RRQ,pick,5,Diggie
S10R012,3,RRQ,ban,1,Fanny
S10R012,3,RRQ,ban,2,Natalia
S10R012,3,RRQ,ban,3,Valentina
S10R012,3,RRQ,ban,4,Phoveus
S10R012,3,RRQ,ban,5,Ling
S10R013,1,GEEK,pick,1,Esmeralda
S10R013,1,GEEK,pick,2,Julian
S10R013,1,GEEK,pick,3,Kagura
S10R013,1,GEEK,pick,4,Claude
S10R013,1,GEEK,pick,5,Natalia
S10R013,1,GEEK,ban,1,Masha
S10R013,1,GEEK,ban,2,Akai
S10R013,1,GEEK,ban,3,Valentina
S10R013,1,GEEK,ban,4,Balmond
S10R013,1,GEEK,ban,5,Benedetta
S10R013,1,RBL,pick,1,Paquito
S10R013,1,RBL,pick,2,Barats
S10R013,1,RBL,pick,3,Faramis
S10R013,1,RBL,pick,4,Beatrix
S10R013,1,RBL,pick,5,Mathilda
S10R013,1,RBL,ban,1,Fanny
S10R013,1,RBL,ban,2,Franco
S10R013,1,RBL,ban,3,Wanwan
S10R013,1,RBL,ban,4,Yve
S10R013,1,RBL,ban,5,Cecilion
S10R013,2,GEEK,pick,1,Paquito
S10R013,2,GEEK,pick,2,Julian
S10R013,2,GEEK,pick,3,Yve
S10R013,2,GEEK,pick,4,Claude
S10R013,2,GEEK,pick,5,Grock
S10R013,2,GEEK,ban,1,Akai
S10R013,2,GEEK,ban,2,Valentina
S10R013,2,GEEK,ban,3,Faramis
S10R013,2,GEEK,ban,4,Khufra
S10R013,2,GEEK,ban,5,Diggie
S10R013,2,RBL,pick,1,Esmeralda
S10R013,2,RBL,pick,2,Aamon
S10R013,2,RBL,pick,3,Lunox
S10R013,2,RBL,pick,4,Beatrix
S10R013,2,RBL,pick,5,Mathilda
S10R013,2,RBL,ban,1,Fanny
S10R013,2,RBL,ban,2,Natalia
S10R013,2,RBL,ban,3,Wanwan
S10R013,2,RBL,ban,4,Atlas
S10R013,2,RBL,ban,5,Franco
S10R014,1,BTR,pick,1,Esmeralda
S10R014,1,BTR,pick,2,Akai
S10R014,1,BTR,pick,3,Yve
S10R014,1,BTR,pick,4,Bruno
S10R014,1,BTR,pick,5,Franco
S10R014,1,BTR,ban,1,Fanny
S10R014,1,BTR,ban,2,Ling
S10R014,1,BTR,ban,3,Valentina
S10R014,1,BTR,ban,4,Benedetta
S10R014,1,BTR,ban,5,Balmond
S10R014,1,RRQ,pick,1,Paquito
S10R014,1,RRQ,pick,2,Lancelot
S10R014,1,RRQ,pick,3,Lunox
S10R014,1,RRQ,pick,4,Wanwan
S10R014,1,RRQ,pick,5,Atlas
S10R014,1,RRQ,ban,1,Natalia
S10R014,1,RRQ,ban,2,Faramis
S10R014,1,RRQ,ban,3,Phoveus
S10R014,1,RRQ,ban,4,Cecilion
S10R014,1,RRQ,ban,5,Claude
S10R014,2,BTR,pick,1,Paquito
S10R014,2,BTR,pick,2,Akai
S10R014,2,BTR,pick,3,Cecilion
S10R014,2,BTR,pick,4,Wanwan
S10R014,2,BTR,pick,5,Popol and Kupa
S10R014,2,BTR,ban,1,Fanny
S10R014,2,BTR,ban,2,Ling
S10R014,2,BTR,ban,3,Franco
